step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
73,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',60368.0,300.0,,
74,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',61321.0,300.0,,
75,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',62354.0,300.0,,
76,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',63404.0,300.0,,
77,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',64331.0,300.0,,
78,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',65266.0,300.0,,
79,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',66228.0,300.0,,
80,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',66744.0,300.0,,
81,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',67211.0,300.0,,
82,"CREATE INDEX IDX_CUSTOMER_k ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL);,CREATE INDEX IDX_CUSTOMER_m ON CUSTOMER (C_CUSTKEY,C_NATIONKEY,C_ACCTBAL,C_PHONE);",shared_buffers = '32GB',68156.0,300.0,,
